CAT revision 69 GST ref 37

=== PRAETOR/CENTURION ARMOURY + WEAPONS ===
ENTRY hq-praetor | Legion Praetor
    LINK r64-if-dorn-honour-r39-phosphex-hq-praetor-ret-honour-champ-arm | Phosphex Bomb (Destroyer Company) -> gear-phosphex-bomb | max=1 field=selections scope=parent
    LINK r64-if-dorn-honour-r40-da-warblade-hq-praetor-ret-honour-ca-5 | Calibanite Warblade -> da22-warblade | max=1 field=selections scope=parent
    LINK r64-if-dorn-honour-r63-sw-arm-22-frost | Frost Weapon -> r63-sw-gear-frost | max=1 field=selections scope=parent
    LINK r64-if-dorn-honour-r63-sw-arm-22-frost-exchange | Frost Weapon — Power Weapon exchange -> r63-sw-gear-frost-exchange | max=1 field=selections scope=parent
    LINK r64-if-dorn-honour-r63-sw-arm-22-pelt | Wolf Pelt -> r63-sw-gear-pelt | max=1 field=selections scope=parent
    LINK r64-if-dorn-honour-r63-sw-arm-22-necklace | Wolf Tooth Necklace -> r63-sw-gear-necklace | max=1 field=selections scope=parent
    LINK r64-if-dorn-honour-r63-sw-arm-22-talisman | Wolf Tail Talisman -> r63-sw-gear-talisman | max=1 field=selections scope=parent
    LINK r64-if-dorn-honour-r64-if-arm-52-solar | Solarite Power Gauntlet -> r64-if-gear-solarite | max=1 field=selections scope=parent
    LINK r64-if-dorn-honour-r64-if-arm-52-solar-ex | Solarite Power Gauntlet — exchange Power Fist -> r64-if-gear-solarite-exchange | max=1 field=selections scope=parent
    LINK r67-if-r64-if-dorn-honour-hq-praetor-ret-honour-champ-arm-solarite | Solarite Power Gauntlet -> r64-if-gear-solarite | max=1 field=selections scope=parent
    LINK r67-if-r64-if-dorn-honour-hq-praetor-ret-honour-champ-arm-solarite-ex | Solarite Power Gauntlet — exchange Power Fist -> r64-if-gear-solarite-exchange | max=1 field=selections scope=parent
OWNER r64-if-dorn-huscarl-r41-unit-vii-2-huscarl-terminator-retinue | Huscarl Terminator Retinue :: GROUP r64-if-dorn-huscarl-r64-if-huscarl-captain | Huscarl Captain Armoury — up to 50 points | max=20 field=selections scope=parent
    LINK r64-if-dorn-huscarl-r64-if-huscarl-cap-solar | Solarite Power Gauntlet -> r64-if-gear-solarite | max=1 field=selections scope=parent
    LINK r64-if-dorn-huscarl-r64-if-huscarl-cap-solar-ex | Solarite Power Gauntlet — exchange Power Fist -> r64-if-gear-solarite-exchange | max=1 field=selections scope=parent
OWNER r42-role-xiv-0-effects-superior-firepower-legion-veteran-squads-veteran-unit | Legion Veteran Squad :: GROUP r42-role-xiv-0-effects-superior-firepower-legion-veteran-squads-veteran-sgt-armoury | Legion Veteran Sergeant — Additional Armoury (max 50 pts) | max=50 field=pts scope=parent
    LINK r42-role-xiv-0-effects-superior-firepower-legion-veteran-squads-veteran-sgt-hf | Hand Flamer -> gear-hand-flamer | max=1 field=selections scope=parent
    LINK r42-role-xiv-0-effects-superior-firepower-legion-veteran-squads-veteran-sgt-lc | Lightning Claw -> gear-lightning-claw | max=1 field=selections scope=parent
    LINK r42-role-xiv-0-effects-superior-firepower-legion-veteran-squads-veteran-sgt-pp | Plasma Pistol -> gear-plasma-pistol | max=1 field=selections scope=parent
    LINK r42-role-xiv-0-effects-superior-firepower-legion-veteran-squads-veteran-sgt-pf | Power Fist -> gear-power-fist | max=1 field=selections scope=parent
    LINK r42-role-xiv-0-effects-superior-firepower-legion-veteran-squads-veteran-sgt-th | Thunder Hammer -> gear-thunder | max=1 field=selections scope=parent
    LINK r42-role-xiv-0-effects-superior-firepower-legion-veteran-squads-veteran-sgt-vs | Volkite Serpenta -> gear-volkite-serpenta | max=1 field=selections scope=parent
    LINK r42-role-xiv-0-effects-superior-firepower-legion-veteran-squads-veteran-sgt-cb | Combi-Bolter -> gear-combi-bolter | max=1 field=selections scope=parent
    LINK r42-role-xiv-0-effects-superior-firepower-legion-veteran-squads-veteran-sgt-cg | Combi-Grenade Launcher -> gear-combi-grenade | max=1 field=selections scope=parent
    LINK r42-role-xiv-0-effects-superior-firepower-legion-veteran-squads-veteran-sgt-sb | Storm Bolter -> gear-storm-bolter | max=1 field=selections scope=parent
    LINK r42-role-xiv-0-effects-superior-firepower-legion-veteran-squads-veteran-sgt-auspex | Auspex -> gear-auspex | max=1 field=selections scope=parent
    LINK r42-role-xiv-0-effects-superior-firepower-legion-veteran-squads-veteran-sgt-bionics | Bionics -> gear-bionics | max=1 field=selections scope=parent
    LINK r42-role-xiv-0-effects-superior-firepower-legion-veteran-squads-veteran-sgt-purity | Purity Seals -> gear-purity | max=1 field=selections scope=parent
    LINK r42-role-xiv-0-effects-superior-firepower-legion-veteran-squads-veteran-sgt-homer | Teleport Homer -> gear-homer | max=1 field=selections scope=parent
    LINK r42-role-xiv-0-effects-superior-firepower-legion-veteran-squads-da22-alt-pp-5 | Calibanite Plasma Pistol -> da22-plasma-pistol | max=1 field=selections scope=parent
    LINK r42-role-xiv-0-effects-superior-firepower-legion-veteran-squads-rev24-veteran-unit-sgt-refractor | Refractor Field -> gear-hq-refractor | max=1 field=selections scope=parent
    LINK r42-role-xiv-0-effects-superior-firepower-legion-veteran-squads-r39-phosphex-veteran-sgt-armoury | Phosphex Bomb (Destroyer Company) -> gear-phosphex-bomb | max=1 field=selections scope=parent
    LINK r63-sw-arm-51-frost | Frost Weapon -> r63-sw-gear-frost | max=1 field=selections scope=parent
    LINK r63-sw-arm-51-frost-exchange | Frost Weapon — Power Weapon exchange -> r63-sw-gear-frost-exchange | max=1 field=selections scope=parent
    LINK r63-sw-arm-51-pelt | Wolf Pelt -> r63-sw-gear-pelt | max=1 field=selections scope=parent
    LINK r63-sw-arm-51-necklace | Wolf Tooth Necklace -> r63-sw-gear-necklace | max=1 field=selections scope=parent
    LINK r63-sw-arm-51-talisman | Wolf Tail Talisman -> r63-sw-gear-talisman | max=1 field=selections scope=parent
OWNER r42-role-xiv-0-effects-superior-firepower-legion-veteran-squads-veteran-unit | Legion Veteran Squad :: GROUP r42-role-xiv-0-effects-superior-firepower-legion-veteran-squads-r40-da-ammo-veteran-unit | Dark Angels Armoury — Ammunition | 
    LINK r42-role-xiv-0-effects-superior-firepower-legion-veteran-squads-r40-da-ammo-veteran-unit-veteran-sp-ml | Stasis Shells — Missile (for Missile Launcher with Suspensor Web (replaces Bolter)) -> da22-stasis-missile | max=2 field=selections scope=parent
OWNER r57-iw-golg-term-troops | Legion Terminator Squad — Terminator Attack :: GROUP r57-iw-golg-term-troops-terminator-sgt-armoury | Additional permitted Terminator Armoury (max 50 pts) | max=50 field=pts scope=parent
    ENTRY r57-iw-golg-term-troops-terminator-sgt-halo | Iron Halo | cost=25 | max=1 field=selections scope=parent
    ENTRY r57-iw-golg-term-troops-terminator-sgt-mastercraft | Master-crafted Weapon | cost=15 | max=1 field=selections scope=parent
    ENTRY r57-iw-golg-term-troops-terminator-sgt-signum | Signum | cost=15 | max=1 field=selections scope=parent
    LINK r57-iw-golg-term-troops-terminator-sgt-cg | Combi-Grenade Launcher -> gear-combi-grenade | max=1 field=selections scope=parent
    LINK r57-iw-golg-term-troops-terminator-sgt-auspex | Auspex -> gear-auspex | max=1 field=selections scope=parent
    LINK r57-iw-golg-term-troops-terminator-sgt-bionics | Bionics -> gear-bionics | max=1 field=selections scope=parent
    LINK r57-iw-golg-term-troops-terminator-sgt-nuncio | Nuncio Vox -> gear-nuncio | max=1 field=selections scope=parent
    LINK r57-iw-golg-term-troops-terminator-sgt-purity | Purity Seals -> gear-purity | max=1 field=selections scope=parent
    LINK r57-iw-golg-term-troops-terminator-sgt-homer | Teleport Homer -> gear-homer | max=1 field=selections scope=parent
    LINK r57-iw-golg-term-troops-r39-phosphex-terminator-sgt-armoury | Phosphex Bomb (Destroyer Company) -> gear-phosphex-bomb | max=1 field=selections scope=parent
    LINK r63-sw-arm-55-frost | Frost Weapon -> r63-sw-gear-frost | max=1 field=selections scope=parent
    LINK r63-sw-arm-55-frost-exchange | Frost Weapon — Power Weapon exchange -> r63-sw-gear-frost-exchange | max=1 field=selections scope=parent
    LINK r63-sw-arm-55-pelt | Wolf Pelt -> r63-sw-gear-pelt | max=1 field=selections scope=parent
    LINK r63-sw-arm-55-necklace | Wolf Tooth Necklace -> r63-sw-gear-necklace | max=1 field=selections scope=parent
    LINK r63-sw-arm-55-talisman | Wolf Tail Talisman -> r63-sw-gear-talisman | max=1 field=selections scope=parent
OWNER r57-iw-golg-term-troops | Legion Terminator Squad — Terminator Attack :: GROUP r57-iw-golg-term-troops-r57-terminator-unit-iw | Iron Warriors Armoury | 
    ENTRY r57-iw-golg-term-troops-r57-terminator-unit-iw-shrapnel | Shrapnel Bolts | cost=5 | max=1 field=selections scope=parent
    ENTRY r57-iw-golg-term-troops-r57-terminator-unit-iw-servo | Servo-Arm | cost=30 | max=1 field=selections scope=parent
    ENTRY r57-iw-golg-term-troops-r57-terminator-unit-iw-bionics | Bionics | cost=5 | max=1 field=selections scope=parent
OWNER r57-iw-hammer-tactical-tac-sergeant | Legion Tactical Sergeant :: GROUP r57-iw-hammer-tactical-sgt-armoury | Sergeant Armoury (max 50 pts) | max=50 field=pts scope=parent
    LINK r57-iw-hammer-tactical-rev24-tactical-unit-sgt-refractor | Refractor Field -> gear-hq-refractor | max=1 field=selections scope=parent
    LINK r57-iw-hammer-tactical-r39-phosphex-sgt-armoury | Phosphex Bomb (Destroyer Company) -> gear-phosphex-bomb | max=1 field=selections scope=parent
    LINK r63-sw-arm-56-frost | Frost Weapon -> r63-sw-gear-frost | max=1 field=selections scope=parent
    LINK r63-sw-arm-56-frost-exchange | Frost Weapon — Power Weapon exchange -> r63-sw-gear-frost-exchange | max=1 field=selections scope=parent
    LINK r63-sw-arm-56-pelt | Wolf Pelt -> r63-sw-gear-pelt | max=1 field=selections scope=parent
    LINK r63-sw-arm-56-necklace | Wolf Tooth Necklace -> r63-sw-gear-necklace | max=1 field=selections scope=parent
    LINK r63-sw-arm-56-talisman | Wolf Tail Talisman -> r63-sw-gear-talisman | max=1 field=selections scope=parent
    LINK r67-if-r57-iw-hammer-tactical-sgt-armoury-solarite | Solarite Power Gauntlet -> r64-if-gear-solarite | max=1 field=selections scope=parent
    LINK r67-if-r57-iw-hammer-tactical-sgt-armoury-solarite-ex | Solarite Power Gauntlet — exchange Power Fist -> r64-if-gear-solarite-exchange | max=1 field=selections scope=parent
OWNER r57-iw-hammer-tactical-tac-sergeant | Legion Tactical Sergeant :: GROUP r57-iw-hammer-tactical-sgt-weapons | Sergeant Armoury - Weapons | max=2 field=selections scope=parent
    LINK r57-iw-hammer-tactical-r39-phosphex-sgt-weapons | Phosphex Bomb (Destroyer Company) -> gear-phosphex-bomb | max=1 field=selections scope=parent
    LINK r63-sw-arm-57-frost | Frost Weapon -> r63-sw-gear-frost | max=1 field=selections scope=parent
    LINK r63-sw-arm-57-frost-exchange | Frost Weapon — Power Weapon exchange -> r63-sw-gear-frost-exchange | max=1 field=selections scope=parent
    LINK r63-sw-arm-57-pelt | Wolf Pelt -> r63-sw-gear-pelt | max=1 field=selections scope=parent
    LINK r63-sw-arm-57-necklace | Wolf Tooth Necklace -> r63-sw-gear-necklace | max=1 field=selections scope=parent
    LINK r63-sw-arm-57-talisman | Wolf Tail Talisman -> r63-sw-gear-talisman | max=1 field=selections scope=parent
OWNER r57-iw-hammer-tactical-tac-sergeant | Legion Tactical Sergeant :: GROUP r57-iw-hammer-tactical-sgt-wargear | Sergeant Armoury - Wargear | 
    LINK r57-iw-hammer-tactical-sgt-auspex | Auspex -> gear-auspex | max=1 field=selections scope=parent
    LINK r57-iw-hammer-tactical-sgt-bionics | Bionics -> gear-bionics | max=1 field=selections scope=parent
    LINK r57-iw-hammer-tactical-sgt-cshield | Combat Shield -> gear-combat-shield | max=1 field=selections scope=parent
    LINK r57-iw-hammer-tactical-sgt-mbombs | Melta Bombs -> gear-melta-bombs | max=1 field=selections scope=parent
    LINK r57-iw-hammer-tactical-sgt-purity | Purity Seals -> gear-purity | max=1 field=selections scope=parent
    LINK r57-iw-hammer-tactical-sgt-homer | Teleport Homer -> gear-homer | max=1 field=selections scope=parent
    LINK r57-iw-hammer-tactical-r39-phosphex-sgt-wargear | Phosphex Bomb (Destroyer Company) -> gear-phosphex-bomb | max=1 field=selections scope=parent
    LINK r63-sw-arm-58-frost | Frost Weapon -> r63-sw-gear-frost | max=1 field=selections scope=parent
    LINK r63-sw-arm-58-frost-exchange | Frost Weapon — Power Weapon exchange -> r63-sw-gear-frost-exchange | max=1 field=selections scope=parent
    LINK r63-sw-arm-58-pelt | Wolf Pelt -> r63-sw-gear-pelt | max=1 field=selections scope=parent
    LINK r63-sw-arm-58-necklace | Wolf Tooth Necklace -> r63-sw-gear-necklace | max=1 field=selections scope=parent
    LINK r63-sw-arm-58-talisman | Wolf Tail Talisman -> r63-sw-gear-talisman | max=1 field=selections scope=parent
OWNER r57-iw-hammer-tactical | Legion Tactical Squad — Hammer Compulsory :: GROUP r57-iw-hammer-tactical-r40-da-ammo-tactical-unit | Dark Angels Armoury — Ammunition | 
    LINK r57-iw-hammer-tactical-r40-da-ammo-tactical-unit-hv-hb | Molecular Acid Shells (for Heavy Bolter) -> da22-acid-hb | max=2 field=selections scope=parent
    LINK r57-iw-hammer-tactical-r40-da-ammo-tactical-unit-hv-ml | Stasis Shells — Missile (for Missile Launcher) -> da22-stasis-missile | max=2 field=selections scope=parent
OWNER r57-iw-hammer-tactical | Legion Tactical Squad — Hammer Compulsory :: GROUP r57-iw-hammer-tactical-r57-tactical-unit-iw | Iron Warriors Armoury | 
    ENTRY r57-iw-hammer-tactical-r57-tactical-unit-iw-shrapnel | Shrapnel Bolts | cost=5 | max=1 field=selections scope=parent
    ENTRY r57-iw-hammer-tactical-r57-tactical-unit-iw-servo | Servo-Arm | cost=30 | max=1 field=selections scope=parent
    ENTRY r57-iw-hammer-tactical-r57-tactical-unit-iw-bionics | Bionics | cost=5 | max=1 field=selections scope=parent
OWNER r57-iw-hammer-breacher-breacher-sergeant | Legion Breacher Sergeant :: GROUP r57-iw-hammer-breacher-breacher-sgt-armoury | Additional Sergeant Armoury (max 50 pts) | max=50 field=pts scope=parent
    LINK r57-iw-hammer-breacher-r39-phosphex-breacher-sgt-armoury | Phosphex Bomb (Destroyer Company) -> gear-phosphex-bomb | max=1 field=selections scope=parent
    LINK r63-sw-arm-59-frost | Frost Weapon -> r63-sw-gear-frost | max=1 field=selections scope=parent
    LINK r63-sw-arm-59-frost-exchange | Frost Weapon — Power Weapon exchange -> r63-sw-gear-frost-exchange | max=1 field=selections scope=parent
    LINK r63-sw-arm-59-pelt | Wolf Pelt -> r63-sw-gear-pelt | max=1 field=selections scope=parent
    LINK r63-sw-arm-59-necklace | Wolf Tooth Necklace -> r63-sw-gear-necklace | max=1 field=selections scope=parent
    LINK r63-sw-arm-59-talisman | Wolf Tail Talisman -> r63-sw-gear-talisman | max=1 field=selections scope=parent
OWNER r57-iw-hammer-breacher-breacher-sergeant | Legion Breacher Sergeant :: GROUP r57-iw-hammer-breacher-breacher-sgt-armoury-weapons | Additional Armoury Weapon (replaces one carried weapon) | max=1 field=selections scope=parent
    LINK r57-iw-hammer-breacher-r39-phosphex-breacher-sgt-armoury-weapons | Phosphex Bomb (Destroyer Company) -> gear-phosphex-bomb | max=1 field=selections scope=parent
    LINK r63-sw-arm-60-frost | Frost Weapon -> r63-sw-gear-frost | max=1 field=selections scope=parent
    LINK r63-sw-arm-60-frost-exchange | Frost Weapon — Power Weapon exchange -> r63-sw-gear-frost-exchange | max=1 field=selections scope=parent
    LINK r63-sw-arm-60-pelt | Wolf Pelt -> r63-sw-gear-pelt | max=1 field=selections scope=parent
    LINK r63-sw-arm-60-necklace | Wolf Tooth Necklace -> r63-sw-gear-necklace | max=1 field=selections scope=parent
    LINK r63-sw-arm-60-talisman | Wolf Tail Talisman -> r63-sw-gear-talisman | max=1 field=selections scope=parent
OWNER r57-iw-hammer-breacher | Legion Breacher Siege Squad — Hammer Compulsory :: GROUP r57-iw-hammer-breacher-r57-breacher-unit-iw | Iron Warriors Armoury | 
    ENTRY r57-iw-hammer-breacher-r57-breacher-unit-iw-shrapnel | Shrapnel Bolts | cost=5 | max=1 field=selections scope=parent
    ENTRY r57-iw-hammer-breacher-r57-breacher-unit-iw-servo | Servo-Arm | cost=30 | max=1 field=selections scope=parent
    ENTRY r57-iw-hammer-breacher-r57-breacher-unit-iw-bionics | Bionics | cost=5 | max=1 field=selections scope=parent

=== LAND RAIDER PATTERN STRUCTURE ===
ENTRY hs-land-raider | Legion Land Raider Battle Squadron
  GROUP hs-lr-patterns | Land Raider Patterns | min=1 field=selections scope=parent; max=3 field=selections scope=parent
    ENTRY hs-lr-phobos | Land Raider Phobos | cost=250 | max=3 field=selections scope=parent
    ENTRY hs-lr-proteus | Land Raider Proteus | cost=200 | max=3 field=selections scope=parent
    ENTRY hs-lr-achilles | Land Raider Achilles | cost=275 | max=1 field=selections scope=parent
  LR ENTRY hs-lr-phobos | Land Raider Phobos | cost=250 | max=3 field=selections scope=parent
    RULE Standard Wargear: Two Twin-linked Lascannons, Twin-linked Heavy Bolter, Searchlight and Smoke Launchers. Power of the Machine Spirit; Assault Vehicle; Transport Capacity 10.
  LR ENTRY hs-lr-proteus | Land Raider Proteus | cost=200 | max=3 field=selections scope=parent
    RULE Standard Wargear: Two Twin-linked Lascannons, Searchlight and Smoke Launchers. Power of the Machine Spirit; Transport Capacity 10.
    RULE Explorator Augury Web: The Proteus gains Scout. At the start of the controlling player’s turn before Reserve rolls, choose Disruption Mode (opponent suffers -1 to all Reserve rolls) or Relay Mode (controlling player may re-roll failed Reserve rolls) until the next controlling turn. Multiple webs give no additional benefit and only one mode may be active for the army. A Proteus with the Web has Transport Capacity 8.
  LR ENTRY hs-lr-achilles | Land Raider Achilles | cost=275 | max=1 field=selections scope=parent
    RULE Standard Wargear: Quad Launcher with Frag and Shatter Shells; two Twin-linked Multi-Meltas; Extra Armour; Armoured Ceramite; Searchlight and Smoke Launchers. Power of the Machine Spirit; Transport Capacity 6.

=== HAMMERFALL GENERIC INFANTRY CANDIDATES ===
tactical-unit | Legion Tactical Squad | hints=Stormwing: First Fire/Overwatch: re-roll To Hit rolls of 1 with Bolters, Bolt Pistols, Storm Bolters, Foeblaster Boltguns and bolter component of combi-weapons. If The Storm of War is selected: stationary Stormwing units || Dreadwing: Flame, Plasma and Volkite attacks against this unit are -1 Strength (minimum 1); against Dreadwing Vehicles/Dreadnoughts this also reduces Armour Penetration Strength. If The Eskaton Imperative is selected: Dr || Ravenwing: Dark Angels Bikes and Jetbikes gain Skilled Rider; Dark Angels Land Speeders gain Jink. If The Seeker’s Arrow is selected: Ravenwing Infantry, Bikes and Jetbikes gain Outflank; Ravenwing Bikes and Jetbikes gai
assault-unit | Legion Assault Squad | hints=Jump Packs: The squad is equipped with Jump Packs and is treated as Jump Infantry. It follows all normal ProHammer rules for Jump Infantry, including movement, terrain, Deep Strike, Fall Back movement and transport restr || Stormwing: First Fire/Overwatch: re-roll To Hit rolls of 1 with Bolters, Bolt Pistols, Storm Bolters, Foeblaster Boltguns and bolter component of combi-weapons. If The Storm of War is selected: stationary Stormwing units || Dreadwing: Flame, Plasma and Volkite attacks against this unit are -1 Strength (minimum 1); against Dreadwing Vehicles/Dreadnoughts this also reduces Armour Penetration Strength. If The Eskaton Imperative is selected: Dr
breacher-unit | Legion Breacher Siege Squad | hints=Stormwing: First Fire/Overwatch: re-roll To Hit rolls of 1 with Bolters, Bolt Pistols, Storm Bolters, Foeblaster Boltguns and bolter component of combi-weapons. If The Storm of War is selected: stationary Stormwing units || Dreadwing: Flame, Plasma and Volkite attacks against this unit are -1 Strength (minimum 1); against Dreadwing Vehicles/Dreadnoughts this also reduces Armour Penetration Strength. If The Eskaton Imperative is selected: Dr || Ravenwing: Dark Angels Bikes and Jetbikes gain Skilled Rider; Dark Angels Land Speeders gain Jink. If The Seeker’s Arrow is selected: Ravenwing Infantry, Bikes and Jetbikes gain Outflank; Ravenwing Bikes and Jetbikes gai
recon-unit | Legion Reconnaissance Squad | hints=Stormwing: First Fire/Overwatch: re-roll To Hit rolls of 1 with Bolters, Bolt Pistols, Storm Bolters, Foeblaster Boltguns and bolter component of combi-weapons. If The Storm of War is selected: stationary Stormwing units || Dreadwing: Flame, Plasma and Volkite attacks against this unit are -1 Strength (minimum 1); against Dreadwing Vehicles/Dreadnoughts this also reduces Armour Penetration Strength. If The Eskaton Imperative is selected: Dr || Ravenwing: Dark Angels Bikes and Jetbikes gain Skilled Rider; Dark Angels Land Speeders gain Jink. If The Seeker’s Arrow is selected: Ravenwing Infantry, Bikes and Jetbikes gain Outflank; Ravenwing Bikes and Jetbikes gai
veteran-unit | Legion Veteran Squad | hints=Jump Packs: The entire squad becomes Jump Infantry. The squad may not select a Dedicated Transport. This option is only available if the squad has not selected a Heavy weapon. || Jump Packs: The entire squad becomes Jump Infantry. The squad may not select a Dedicated Transport. This option is only available if the squad has not selected a Heavy weapon. || Stormwing: First Fire/Overwatch: re-roll To Hit rolls of 1 with Bolters, Bolt Pistols, Storm Bolters, Foeblaster Boltguns and bolter component of combi-weapons. If The Storm of War is selected: stationary Stormwing units
terminator-unit | Legion Terminator Squad | hints=Stormwing: First Fire/Overwatch: re-roll To Hit rolls of 1 with Bolters, Bolt Pistols, Storm Bolters, Foeblaster Boltguns and bolter component of combi-weapons. If The Storm of War is selected: stationary Stormwing units || Dreadwing: Flame, Plasma and Volkite attacks against this unit are -1 Strength (minimum 1); against Dreadwing Vehicles/Dreadnoughts this also reduces Armour Penetration Strength. If The Eskaton Imperative is selected: Dr || Ravenwing: Dark Angels Bikes and Jetbikes gain Skilled Rider; Dark Angels Land Speeders gain Jink. If The Seeker’s Arrow is selected: Ravenwing Infantry, Bikes and Jetbikes gain Outflank; Ravenwing Bikes and Jetbikes gai
destroyer-unit | Legion Destroyer Squad | hints=Jump Packs: Every model gains a Jump Pack and the unit becomes Jump Infantry. A Destroyer Squad equipped with Jump Packs may not select a Dedicated Transport. || Stormwing: First Fire/Overwatch: re-roll To Hit rolls of 1 with Bolters, Bolt Pistols, Storm Bolters, Foeblaster Boltguns and bolter component of combi-weapons. If The Storm of War is selected: stationary Stormwing units || Dreadwing: Flame, Plasma and Volkite attacks against this unit are -1 Strength (minimum 1); against Dreadwing Vehicles/Dreadnoughts this also reduces Armour Penetration Strength. If The Eskaton Imperative is selected: Dr
techmarine-covenant | Techmarine Covenant | hints=Stormwing: First Fire/Overwatch: re-roll To Hit rolls of 1 with Bolters, Bolt Pistols, Storm Bolters, Foeblaster Boltguns and bolter component of combi-weapons. If The Storm of War is selected: stationary Stormwing units || Dreadwing: Flame, Plasma and Volkite attacks against this unit are -1 Strength (minimum 1); against Dreadwing Vehicles/Dreadnoughts this also reduces Armour Penetration Strength. If The Eskaton Imperative is selected: Dr || Ravenwing: Dark Angels Bikes and Jetbikes gain Skilled Rider; Dark Angels Land Speeders gain Jink. If The Seeker’s Arrow is selected: Ravenwing Infantry, Bikes and Jetbikes gain Outflank; Ravenwing Bikes and Jetbikes gai
rapier-unit | Legion Rapier Weapons Battery | hints=Rapier Battery: Follows the normal ProHammer Artillery rules. A Rapier requires at least one of its designated crew within 2" to move or fire. One crew model operates the Rapier when it fires and may not fire another wea || Stormwing: First Fire/Overwatch: re-roll To Hit rolls of 1 with Bolters, Bolt Pistols, Storm Bolters, Foeblaster Boltguns and bolter component of combi-weapons. If The Storm of War is selected: stationary Stormwing units || Dreadwing: Flame, Plasma and Volkite attacks against this unit are -1 Strength (minimum 1); against Dreadwing Vehicles/Dreadnoughts this also reduces Armour Penetration Strength. If The Eskaton Imperative is selected: Dr
fa-seeker | Legion Seeker Squad | hints=Stormwing: First Fire/Overwatch: re-roll To Hit rolls of 1 with Bolters, Bolt Pistols, Storm Bolters, Foeblaster Boltguns and bolter component of combi-weapons. If The Storm of War is selected: stationary Stormwing units || Dreadwing: Flame, Plasma and Volkite attacks against this unit are -1 Strength (minimum 1); against Dreadwing Vehicles/Dreadnoughts this also reduces Armour Penetration Strength. If The Eskaton Imperative is selected: Dr || Ravenwing: Dark Angels Bikes and Jetbikes gain Skilled Rider; Dark Angels Land Speeders gain Jink. If The Seeker’s Arrow is selected: Ravenwing Infantry, Bikes and Jetbikes gain Outflank; Ravenwing Bikes and Jetbikes gai
hs-heavy-support-squad | Legion Heavy Support Squad | hints=Stormwing: First Fire/Overwatch: re-roll To Hit rolls of 1 with Bolters, Bolt Pistols, Storm Bolters, Foeblaster Boltguns and bolter component of combi-weapons. If The Storm of War is selected: stationary Stormwing units || Dreadwing: Flame, Plasma and Volkite attacks against this unit are -1 Strength (minimum 1); against Dreadwing Vehicles/Dreadnoughts this also reduces Armour Penetration Strength. If The Eskaton Imperative is selected: Dr || Ravenwing: Dark Angels Bikes and Jetbikes gain Skilled Rider; Dark Angels Land Speeders gain Jink. If The Seeker’s Arrow is selected: Ravenwing Infantry, Bikes and Jetbikes gain Outflank; Ravenwing Bikes and Jetbikes gai
hq-centurion-ret-command | Legion Command Squad | hints=
hq-praetor-ret-termcommand | Legion Terminator Command Squad | hints=
hq-praetor-ret-honour | Legion Honour Guard Squad | hints=

=== IMPERIAL FISTS KNOWN GAP STRUCTURES ===
r41-unit-vii-0-templar-brethren-squad | Templar Brethren Squad
  GROUP r64-if-templar-power | Rending Weapon Replacements — up to five models | max=5 field=selections scope=parent
    ENTRY r64-if-templar-pw | Power Weapon | cost=10 | max=5 field=selections scope=parent
  GROUP r64-if-templar-champ | Templar Champion Armoury — up to 50 points | max=20 field=selections scope=parent
    LINK r64-if-templar-champ-solar | Solarite Power Gauntlet -> r64-if-gear-solarite | max=1 field=selections scope=parent
    LINK r64-if-templar-champ-solar-ex | Solarite Power Gauntlet — exchange Power Fist -> r64-if-gear-solarite-exchange | max=1 field=selections scope=parent
  GROUP r64-if-templar-transport | Dedicated Transport | max=1 field=selections scope=parent
    ENTRY r64-if-templar-transport-lr-hs-land-raider | Legion Land Raider | cost= | 
    LINK r64-if-templar-transport-rhino | Legion Rhino Armoured Carrier -> transport-rhino | max=1 field=selections scope=parent
    LINK r64-if-templar-transport-drop | Legion Drop Pod -> transport-drop-pod | max=1 field=selections scope=parent
    LINK r64-if-templar-transport-dread | Dreadclaw Drop Pod -> transport-dreadclaw | max=1 field=selections scope=parent
  GROUP r64-if-templar-transport-lr-hs-lr-ph-pintle | Pintle-mounted Weapon | max=1 field=selections scope=parent
    LINK r64-if-templar-transport-lr-hs-lr-ph-p0 | Twin-linked Bolter -> gear-tl-bolter | max=1 field=selections scope=parent
    LINK r64-if-templar-transport-lr-hs-lr-ph-p1 | Combi-Flamer -> gear-combi-flamer | max=1 field=selections scope=parent
    LINK r64-if-templar-transport-lr-hs-lr-ph-p2 | Combi-Grenade Launcher -> gear-combi-grenade | max=1 field=selections scope=parent
    LINK r64-if-templar-transport-lr-hs-lr-ph-p3 | Combi-Meltagun -> gear-combi-melta | max=1 field=selections scope=parent
    LINK r64-if-templar-transport-lr-hs-lr-ph-p4 | Combi-Plasma Gun -> gear-combi-plasma | max=1 field=selections scope=parent
    LINK r64-if-templar-transport-lr-hs-lr-ph-p5 | Combi-Volkite Charger -> gear-combi-volkite | max=1 field=selections scope=parent
    LINK r64-if-templar-transport-lr-hs-lr-ph-p6 | Heavy Bolter -> gear-heavy-bolter | max=1 field=selections scope=parent
    LINK r64-if-templar-transport-lr-hs-lr-ph-p7 | Heavy Flamer -> gear-heavy-flamer | max=1 field=selections scope=parent
    LINK r64-if-templar-transport-lr-hs-lr-ph-p8 | Multi-Melta -> gear-multimelta | max=1 field=selections scope=parent
